id,category1,category2,question,a,b,c,answer,explanation,active
17,IT・デジタル,IT用語,コンピュータの「CPU」の役割として最も適切なのはどれでしょう。,データを長期間保存する,画面に画像を表示する,命令を解釈し処理を実行する,C,CPUはコンピュータの中枢であり、命令を解釈して処理を実行する役割を持ちます。記憶や表示、通信などは別の装置が担当します。データの長期保存はハードディスクやSSDなどの記憶装置、画面表示はディスプレイとグラフィック関連の装置が担い、CPUはそれらと連携しながら演算処理の中心を担っています。,TRUE
18,経営・戦略,SWOT分析,SWOT分析の「T（Threat）」に該当するものはどれでしょう。,自社の強み,自社の弱み,外部環境の脅威,C,SWOT分析では、外部環境のうち企業にとって不利に働く要因を「Threat（脅威）」と呼びます。競合の増加や市場縮小などが該当します。SWOTにはほかに、自社の強みを表す「Strength」、弱みを表す「Weakness」、外部環境の好機を表す「Opportunity」があり、内部要因と外部要因の両面から自社の状況を整理する際に用いられます。,TRUE
19,業務改善・品質管理,品質保証,「品質」の説明として最も適切なのはどれでしょう。,価格が高いほど品質が良い,作った人が良いと思えば品質が良い,顧客の要求を満たしているかどうかで決まる,C,品質とは「顧客の要求を満たしているかどうか」で決まります。作り手の主観や価格の高さではなく、顧客が求める性能・安全性・使いやすさなどを満たしているかが品質の本質です。,TRUE
20,業務改善・品質管理,QC基礎,QC七つ道具の一つで、データのばらつきを視覚的に確認できる図はどれでしょう。,パレート図,散布図,ヒストグラム,C,ヒストグラムは、データを階級ごとに区分して棒グラフで表し、ばらつきや分布の形を確認できる図です。QC七つ道具の中でも、データの特徴をつかむために最も基本的な手法の一つです。なお、パレート図は項目別の影響度を大きい順に示す図、散布図は二つの変数の関係性を確認する図であり、目的に応じて使い分けます。,TRUE
21,労務・雇用,ハラスメント,職場でのハラスメント防止に関するコンプライアンスとして最も適切なのはどれでしょう。,不快に感じる人がいなければ問題ない,上司が行う指導はすべてハラスメントに当たらない,相手の受け取り方を尊重し、行動を見直す必要がある,C,ハラスメントは「相手がどう受け取るか」が重要であり、加害者側の意図とは関係なく成立します。職場では、相手の立場や感情に配慮し、必要に応じて行動を見直すことがコンプライアンスとして求められます。,TRUE
22,法務・コンプライアンス,契約基礎,クーリングオフ制度が適用されるケースとして最も適切なのはどれでしょう。,店舗で自分の意思で購入した商品,通信販売で購入した商品,訪問販売で契約した商品,C,クーリングオフは、訪問販売など消費者が不意打ち的に契約させられる可能性がある取引に適用されます。通信販売や店舗購入には原則として適用されません。,TRUE
23,情報管理・セキュリティ,SNS利用,SNSでの発信に関するコンプライアンスとして最も適切なのはどれでしょう。,個人のアカウントなら会社の情報を書いても問題ない,匿名なら会社や同僚の悪口を書いても特定されない,公開範囲に関係なく、会社や個人情報の投稿は慎重に行う,C,SNSは公開範囲を設定しても情報が拡散する可能性があり、匿名でも特定されるケースがあります。会社の情報や同僚に関する内容は、個人アカウントであっても慎重に扱う必要があり、ネット上の発信には常に責任が伴います。,TRUE
24,法務・コンプライアンス,コンプライアンス総論,上司から違法または不適切と思われる指示を受けた場合の対応として最も適切なものはどれですか,上司の指示なのでそのまま従う,取引先に判断を任せる,疑問点を確認し必要に応じて上位者や相談窓口に相談する,C,上司の指示であっても不適切な行為に関与すれば責任を問われる可能性があります。疑問を確認し必要に応じて相談窓口などを利用することが大切です。取引先など社外の第三者に判断を委ねることは適切ではなく、まずは社内の上位者やコンプライアンス窓口に相談し、組織として対応することが求められます,TRUE
25,法務・コンプライアンス,贈収賄・接待交際,取引先との接待に関するコンプライアンスとして最も適切なのはどれでしょう。,契約を取るためなら高額な接待も許される,相手が望むなら金品を渡してもよい,社内規程に従い、社会通念上妥当な範囲で行う,C,接待や贈答は、企業の倫理規程や社会通念に基づいて適切な範囲で行う必要があります。過度な接待や金品の授受は贈収賄や不正の疑いを招き、企業の信用を損なうため、コンプライアンス上厳しく制限されています。,TRUE
26,経営・戦略,競争戦略,経営戦略における「差別化戦略」の説明として最も適切なのはどれでしょう。,価格を下げて競争する戦略,他社と同じ製品を大量に作る戦略,他社にはない独自の価値を提供する戦略,C,差別化戦略は、他社にはない独自の価値を提供することで競争優位を築く戦略です。価格を下げて対抗するのはコストリーダーシップ戦略であり、他社と同じ製品を大量に作るだけでは差別化にはつながりません。,TRUE
27,法務・コンプライアンス,コンプライアンス総論,日本の社会規範に基づくコンプライアンスとして適切なのはどれでしょう。,法律に違反しなければ何をしてもよい,社会的な信頼を損なう行為は避ける必要がある,企業の利益が最優先で社会的責任は二の次,B,日本社会では、法律だけでなく社会的信頼や倫理観も重視されます。企業は社会の一員として責任を果たす必要があり、法令遵守に加えて社会的な期待に応える行動が求められます。法律に違反していなければ何をしてもよいという考え方や、企業の利益を優先して社会的責任を後回しにする姿勢は、社会的信頼を損なうおそれがあるため適切ではありません。,TRUE
28,法務・コンプライアンス,国際取引,海外企業との取引におけるコンプライアンスとして正しいのはどれでしょう。,相手国の法律は気にしなくてよい,日本の法律だけ守れば問題ない,日本と相手国の両方の法令や規制を確認する必要がある,C,国際取引では、日本の法律だけでなく相手国の法令や規制も遵守する必要があります。商習慣が異なる場合でも、法令違反は重大なリスクとなるため、双方のルールを理解したうえで取引を進めることが求められます。相手国の法律を軽視したり、日本の法律だけを守ればよいと考えたりするのは誤りです。,TRUE
29,会計・財務・税務,原価・コスト,材料費の計算において「実際消費量 × 単価」で求められるものはどれでしょう。,材料消費価格差異,材料消費量差異,材料消費額,C,材料消費額は、実際に消費した材料の数量に単価を掛けて求めます。材料消費価格差異は標準単価と実際単価の差から生じる差異、材料消費量差異は標準消費量と実際消費量の差から生じる差異であり、いずれも原価管理において実際原価と標準原価を比較する際に用いられます。,TRUE
30,情報管理・セキュリティ,個人情報保護,マイナンバーの桁数として正しいのはどれでしょう。,8桁,10桁,12桁,C,マイナンバーは12桁の個人番号で構成されています。社会保障や税、災害対策の分野で本人確認や手続きの効率化のために利用される制度で、生涯変わらない番号であるため、取り扱いには厳格な管理が求められます。,TRUE
31,情報管理・セキュリティ,個人情報保護,個人データの安全管理措置として最も適切なものはどれか,アクセス権限や保管方法や持ち出しルールを整備する,全社員が同じように個人情報を閲覧できるようにしておく,持ち出しにくいように紙の書類として保管しておく,A,個人データの漏えい、滅失、毀損を防ぐためには、権限管理、保管場所の管理、持ち出し制限、廃棄ルールなどの安全管理措置が必要です。全社員が同じように閲覧できる状態や、紙媒体で保管するだけでは十分な対策とはいえず、アクセス権限の設定や持ち出しルールの整備など複数の観点から管理することが重要です。,TRUE
32,情報管理・セキュリティ,個人情報保護,個人情報をメールで送信する際に注意すべきこととして最も適切なものはどれか,宛先や添付ファイルを確認し必要に応じて暗号化や送信方法を工夫する,個人情報を含むファイルは常に全員へ共有しておく,誤送信した場合には、気が付いた時点で削除依頼しておく,A,メール送信では宛先間違いや添付ファイル間違いが漏えいの原因になります。送信前確認、権限設定、暗号化、別経路でのパスワード共有などを適切に使うことが重要です。個人情報を含むファイルを全員に共有したり、誤送信後に削除依頼するだけで済ませたりするのは対策として不十分です。,TRUE
33,プロジェクト管理,プロジェクト管理,プロジェクトマネジメントにおける「スコープ」とは何を指すでしょう。,プロジェクトの予算,プロジェクトの成果物と作業範囲,プロジェクトのメンバー構成,B,スコープとは、プロジェクトで「何を作るのか」「どこまで作業するのか」という範囲を示す概念です。スコープが曖昧だと、追加作業が発生したり、納期が遅れたりするため、明確に定義することが重要です。,TRUE
34,情報管理・セキュリティ,個人情報保護,個人情報のうち「要配慮個人情報」に該当するものはどれでしょう。,氏名,メールアドレス,病歴,C,要配慮個人情報とは、病歴、障害、犯罪歴、思想・信条など、本人への不利益が生じる可能性が高い情報を指します。氏名やメールアドレスは単独では要配慮個人情報に該当せず、通常の個人情報として扱われますが、要配慮個人情報は取得や第三者提供において本人同意など、より慎重な取り扱いが求められます。,TRUE
35,IT・デジタル,ネットワーク,Wi-Fiを業務で使う際に適切な考え方はどれですか。,電波が強ければ安全性も高いと考える,一度接続できたWi-Fiは次回以降もそのまま使う,接続先や暗号化の有無など安全性を確認して使う,C,Wi-Fiは便利ですが接続先を誤ると情報漏えいのリスクがあります。電波の強さは安全性とは関係がなく、一度接続できたことが安全性を保証するわけでもないため、業務利用では接続先や暗号化の有無など安全性を確認したうえで利用する必要があります。,TRUE
36,IT・デジタル,ネットワーク,ネットワークにおける「IPアドレス」の役割として正しいのはどれでしょう。,データを暗号化する,コンピュータを識別する,ウイルスを検出する,B,IPアドレスは、ネットワーク上のコンピュータを識別するための番号です。住所のような役割を持ち、データが正しい相手に届くために必要不可欠です。,TRUE
37,IT・デジタル,ネットワーク,VPNを利用する主な目的として適切なのはどれですか。,社外からの通信を安全に社内環境へ接続しやすくする,通信速度を常に速くするために利用する,社内システムの画面を見やすくするために使う,A,VPNは社外から社内システムなどへ安全に接続するために使われます。通信内容を暗号化して保護したり、接続先を制御したりすることが主な目的であり、通信速度の向上や画面表示を見やすくするための仕組みではありません。,TRUE
38,勤怠管理,36協定と残業上限,36協定の基本的な役割として最も適切なものはどれですか,残業代の支払いを不要にするための協定である,法定労働時間を超える時間外労働や法定休日労働を行わせるために必要な労使協定である,従業員の有給休暇を制限するための協定である,B,36協定は法定労働時間を超える時間外労働や法定休日労働を行わせる場合に必要となる労使協定です。締結するだけでなく所轄労働基準監督署への届出も重要です,TRUE
39,業務改善・品質管理,QC基礎,品質管理の目的として最も適切なのはどれでしょう。,作業者の負担を増やすこと,製品の見た目を良くすることだけ,顧客満足を高め、ムダを減らすこと,C,品質管理は、顧客満足を高めると同時に、ムダや不良を減らして効率を上げることを目的としています。見た目だけを良くすることではなく、総合的に価値を高める活動です。,TRUE
40,IT・デジタル,ネットワーク,ネットワークについて理解しておく目的として適切なのはどれですか。,通信速度を常に細かく測定できるようにする,専門用語を覚えてシステム担当者に任せやすくする,接続や共有の仕組みを理解しトラブル時に状況を説明できるようにする,C,ネットワークの基本を理解しておくと接続不良や通信遅延が起きたときに状況を整理して相談しやすくなります。専門用語を暗記して担当者に任せきりにしたり、通信速度の測定だけに注目したりするのではなく、接続や共有の仕組みを理解し、トラブル発生時に状況を的確に説明できることが実務では重要です。,TRUE
41,IT・デジタル,ネットワーク,ネットワークに接続する端末管理で大切なことはどれですか。,使いやすい端末であれば自由に接続する,一度接続できた端末は継続利用してよいと考える,業務利用が認められた端末か確認して接続する,C,ネットワークに接続する端末はセキュリティに影響します。使いやすさだけで自由に接続したり、一度接続できたからといって継続的に利用してよいと考えたりするのではなく、業務利用が認められた端末かどうかを都度確認することが重要です。,TRUE
42,IT・デジタル,ネットワーク,ネットワークのセキュリティで基本となる考え方はどれですか。,接続できることを優先し細かい制限は少なくする,問題が起きたあとに接続範囲を見直す,必要な人や端末だけが必要な範囲で接続できるようにする,C,ネットワークセキュリティでは必要最小限のアクセスにすることが基本です。接続のしやすさを優先して制限を緩めたり、問題が起きてから見直したりするのではなく、必要な人や端末だけが必要な範囲で接続できるよう、あらかじめ管理しておくことが重要です。,TRUE
43,業務改善・品質管理,PDCA,PDCAサイクルの「C（Check）」に該当する内容はどれでしょう。,計画を立てる,計画を実行する,実行結果を評価する,C,PDCAサイクルの「C」は、実行した内容が計画通りに進んだかどうかを評価する段階です。計画を立てるP（Plan）、計画を実行するD（Do）に続いて行われ、評価によって明らかになった問題点を次の改善であるA（Act）につなげることで、継続的な品質向上が可能になります。,TRUE
44,IT・デジタル,ネットワーク,ファイル共有やクラウド利用でネットワークを意識すべき場面はどれですか。,ファイル名が分かりやすいか確認するとき,画面デザインを整えるとき,大容量ファイルの送受信や同時アクセスが多いとき,C,大容量ファイルの送受信や多数の同時利用は通信負荷に影響します。ファイル名の分かりやすさや画面デザインとは異なり、通信量が増える場面ではネットワークの負荷を意識し、業務への影響を考えて送受信の方法や時間帯を検討することが必要です。,TRUE
45,法務・コンプライアンス,会社法,株式会社の「機関」として正しい組み合わせはどれでしょう。,株主総会・取締役会・監査役,社長・部長・課長,株主総会・従業員代表・顧問,A,会社法における「機関」とは、会社の意思決定や監督を行う組織のことを指します。株式会社では株主総会、取締役会、監査役などが代表的な機関であり、役職名や従業員は機関には含まれません。,TRUE
46,法務・コンプライアンス,会社法,株主総会の普通決議で必要な要件として正しいのはどれでしょう。,議決権ベースでの過半数の賛成,全株主の全会一致,出席株主の3分の2以上の賛成,A,普通決議は、議決権ベースでの過半数の賛成で成立します。全会一致や特別多数は特別決議の場合であり、代表取締役の承認は決議成立の要件ではありません。,TRUE
47,法務・コンプライアンス,契約基礎,契約が成立するために必要な要素として最も適切なのはどれでしょう。,契約書の作成,申込みと承諾,印鑑証明書の提出,B,契約は「申込み」と「承諾」が合致した時点で成立します。契約書や印鑑証明は証拠として重要ですが、契約成立の必須条件ではありません。口頭でも契約は成立します。,TRUE
48,法務・コンプライアンス,契約基礎,契約書における「瑕疵担保責任（契約不適合責任）」の説明として正しいのはどれでしょう。,契約後は一切責任を負わない,商品に問題があっても返品できない,契約内容と異なる場合に売主が責任を負う,C,契約不適合責任とは、引き渡された物が契約内容と異なる場合に売主が負う責任です。返品や修補、代替物の請求などが可能であり、修補請求、代替物請求、代金減額、損害賠償など、複数の手段を選択できます。,TRUE
49,勤怠管理,労働時間の基本,労働基準法における「法定労働時間」として正しいのはどれでしょう。,1日6時間・週30時間,1日8時間・週40時間,1日10時間・週50時間,B,労働基準法では、原則として1日8時間・週40時間が法定労働時間とされています。これを超える労働をさせる場合には、36協定の締結と届出が必要になります。,TRUE
50,IT・デジタル,ネットワーク,社内ネットワークを利用するときに注意すべきことはどれですか。,つながっていれば利用方法は各自で判断する,通信が安定することを優先して、セキュリティ確認は後にする,利用ルールや接続できる機器の範囲を確認する,C,社内ネットワークは業務情報を扱うため接続してよい端末や利用ルールを確認することが重要です。つながっていれば各自の判断で自由に利用したり、セキュリティ確認を後回しにして通信の安定だけを優先したりするのではなく、あらかじめ定められたルールの範囲内で利用することが求められます。,TRUE
51,IT・デジタル,ネットワーク,通信が遅いと感じたときに最初に確認すべきことはどれですか。,すぐにネットワーク機器を交換する,通信が遅い時間帯は作業を避ける,自分の端末だけか周囲でも起きているかを確認する,C,通信不良は端末側かネットワーク全体かで対応が変わります。まず影響範囲を確認すると原因の切り分けがしやすくなります。すぐに機器を交換すると原因が不明なまま対応することになり無駄が生じやすく、遅い時間帯を避けるだけでは根本的な解決にはなりません。,TRUE
52,IT・デジタル,ネットワーク,ネットワーク障害を報告するときに伝えるとよい情報はどれですか。,困っている感情を最優先で伝える,復旧するまで待ってからまとめて伝える,発生時刻や利用場所や表示された内容を整理して伝える,C,障害報告では発生時刻、場所、端末、操作内容、エラーメッセージなどを整理すると原因調査が進めやすくなります。困っている感情だけを伝えたり、復旧するまで待ってからまとめて伝えたりすると、状況把握が遅れ早期の原因特定や再発防止につながりにくくなります。,TRUE
53,IT・デジタル,OS・ソフトウェア,OSやソフトウェアを最新版に更新する主な理由として適切なのはどれですか。,新しい機能をすべて使いたい場合に行う,操作画面を常に新しく見せるため,不具合修正やセキュリティ対策を反映するため,C,更新には新機能追加だけでなく、不具合修正やセキュリティ上の弱点への対応が含まれます。業務で安全に使うためにも更新管理は重要です。新しい機能を使いたいときだけ更新するという考え方や、見た目を新しく見せるための更新という理解は、更新本来の目的を捉えきれていません。,TRUE
54,経営・戦略,経営理念,企業のミッション（使命）として最も適切な内容はどれでしょう。,企業の短期的な売上目標,企業が社会に対して果たすべき役割,社員の個人的な目標,B,ミッションは、企業が社会に対してどのような価値を提供し、どんな役割を果たすかを示すものです。短期的な目標ではなく、企業の存在意義を表す重要な概念です。短期的な売上目標や社員個人の目標は、ミッションを実現するための手段や結果にすぎず、ミッションそのものとは異なります。,TRUE
55,心理・行動,モチベーション,モチベーション理論の「マズローの欲求5段階説」で、最も高次の欲求はどれでしょう。,生理的欲求,自己実現,承認欲求,B,マズローの理論では、最も高次の欲求は「自己実現欲求」であり、自分の能力を最大限に発揮したいという欲求を指します。生理的欲求は生命維持に関わる最も基本的な欲求であり、承認欲求は自己実現の一歩手前に位置づけられますが、いずれも自己実現ほど高次の欲求ではありません。,TRUE
56,IT・デジタル,OS・ソフトウェア,不要になったソフトウェアへの対応として適切なのはどれですか。,使わなくなっても念のため端末に残しておく,空き時間があるときに利用者判断で整理する,利用状況を確認し、必要に応じて削除や契約見直しを行う,C,不要なソフトを放置すると、管理漏れ、セキュリティリスク、余分な費用につながることがあります。利用状況を確認し、適切に削除や契約見直しを行うことが重要です。使わなくなっても念のため残したり、利用者個人の判断だけに任せたりすると、管理が属人化し対応が後手に回りやすくなります。,TRUE
57,IT・デジタル,OS・ソフトウェア,業務ソフトを導入するときに注意すべきことはどれですか。,便利そうな機能が多いものを優先して選ぶ,利用者が慣れるまで細かいルールを決めすぎない,既存業務や他システムとの連携・運用を確認する,C,ソフト導入では、機能だけでなく既存業務との相性、データ移行、他システム連携、運用ルール、教育方法を確認することが大切です。便利そうな機能の多さだけで選んだり、細かいルールの整備を先送りにしたりすると、後から現場で混乱や不整合が生じやすくなります。,TRUE
58,IT・デジタル,OS・ソフトウェア,OSの役割として最も適切なものはどれですか。,業務アプリの見た目を整えるための仕組み,インターネット上の情報を検索するためのサービス,パソコンやスマートフォン全体を動かす基本ソフト,C,OSは、端末の基本的な動作やアプリの実行、ファイル管理などを支える基本ソフトです。Windows、macOS、iOS、Androidなどが代表例です。OSの役割はアプリの見た目を整えることや、インターネット上の情報を検索するサービスとは異なる点に注意が必要です。,TRUE
59,会計・財務・税務,財務諸表,損益計算書（P/L）で示される内容として正しいのはどれでしょう。,企業の資産と負債,一定期間の収益と費用,現金の出入り,B,損益計算書は、一定期間における収益と費用をまとめ、最終的な利益を示す財務諸表です。資産や負債は貸借対照表（B/S）で示され、現金の出入りはキャッシュ・フロー計算書で示されるため、それぞれ役割が異なります。,TRUE
60,IT・デジタル,OS・ソフトウェア,OSやソフトウェアで不具合が起きたときの適切な対応はどれですか。,すぐに設定を変更して様子を見る,同じ画面を何度か操作して解消するか試す,発生状況を整理し、社内ルールに沿って確認・相談する,C,不具合時は、発生日時、操作内容、表示されたメッセージなどを整理し、社内ルールに沿って確認・相談することで、原因特定や再発防止につながります。設定をすぐ変更したり、同じ操作を繰り返し試したりするだけでは、原因が分からないまま対応することになりトラブルが再発しやすくなります。,TRUE
61,勤怠管理,シフト勤務・変形労働時間制,シフト勤務に関する基本的な考え方として最も適切なものはどれですか,シフト勤務では労働時間や休日のルールは適用されない,一定期間ごとに勤務日や勤務時間を決める働き方であり労働条件やシフト作成ルールを明確にする必要がある,シフトは会社がいつでも一方的に変更できる,B,シフト勤務でも労働基準法などのルールは適用され、労働時間や休日の規定が及ばないわけではありません。シフトの作成方法や通知期限、変更手続を明確にしておくことでトラブルを防ぎやすくなり、会社が一方的に自由に変更できるものでもありません。,TRUE
62,会計・財務・税務,原価・コスト,原価の三要素として正しい組み合わせはどれでしょう。,材料費・労務費・経費,材料費・販売費・一般管理費,労務費・広告費・経費,A,原価の三要素とは「材料費」「労務費」「経費」の3つで構成されます。製品を作るために直接必要な費用を分類したもので、原価計算の最も基本的な考え方です。販売費・一般管理費や広告費は、製品を作るための直接的な費用ではなく、原価の三要素には含まれません。,TRUE
63,会計・財務・税務,原価・コスト,製造原価に含まれないものはどれでしょう。,材料費,販売費および一般管理費,製造間接費,B,製造原価は製品を作るために必要な費用であり、材料費・労務費・製造間接費が含まれます。一方、販売費および一般管理費は製造とは直接関係しない費用であるため、製造原価には含まれず、企業全体の費用管理の中で別に区分されます。,TRUE
64,IT・デジタル,OS・ソフトウェア,ソフトウェアで扱うデータについて注意すべきことはどれですか。,ソフト内に保存していれば安全と考える,利用者が分かりやすい場所に各々が保存する,保存場所や共有範囲、バックアップ方法を確認する,C,ソフトウェアで扱うデータは、保存場所、アクセス権限、共有範囲、バックアップ方法を確認する必要があります。情報漏えいやデータ消失を防ぐためです。利用者ごとに分かりやすい場所へ個別に保存すると、管理が属人化し共有漏れやセキュリティ上の問題につながりやすくなります。,TRUE
65,IT・デジタル,OS・ソフトウェア,業務で使うソフトウェアを選ぶときに最初に確認すべきことはどれですか。,多くの人が使っている有名なソフトかどうか,画面デザインが新しく見えるかどうか,業務上の目的や必要な機能に合っているか,C,ソフトウェアは知名度や見た目だけでなく、業務目的に合う機能、使いやすさ、セキュリティ、運用方法を確認して選ぶことが重要です。知名度や画面デザインの新しさだけで選ぶと、実際の業務要件に合わず使いにくくなることがあります。,TRUE
66,IT・デジタル,OS・ソフトウェア,ソフトウェアの利用ライセンスで確認すべきことはどれですか。,同じ部署であれば誰でも自由に使えるか,一度購入すればどの端末でも制限されずに使えるか,利用できる人数や範囲、契約条件に合っているか,C,ソフトウェアには利用人数、端末数、利用目的などの条件があります。契約条件に合わない利用は、法務・コンプライアンス上の問題につながる可能性があります。同じ部署なら自由に使える、あるいは一度購入すれば制限なく使えるという考え方は、ライセンス違反につながるおそれがあります。,TRUE
